00	66196
0	3848,6011204,6011209
100005156	6015497
1102	6011204
123	6011209
12	66193
1278	6011204
13	6011204
1	3848
1530	6011204
1536	6011204
1	66195,6011209
16	66193
17	66196
23	6012771
2	6011204,6011209,6012754
3001	66196
3	6011209
4	66193,6011208
5001	66196
53	6011204
570	6011204
572	6011204
59	6012771
%	6011204
+	6011204,6011209
65906	66195
73	6011204
7883	6011939
9973	6011939
abc	6011208
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz	6011204
absolutely	6012771
access	66196,6011208
advance	6012754
again	6012771
alternative	6011938
amazing	6015564
anyone	15084
app	6011204,6011936
appengine	6011939
application	26454
apps	6011936
apr2012	66196
april2012	6011939
*args	6011204
augusto	15084
available	66195
aware	6012754
before	6012771
bit	6015491
board	15084
brazil	15084
browser	262
btw	6015497
build	2
__call__	6011204
call	6011204
cgi	6011204
change	3778
charlie	6015491
china	111
class	6011204
code	6011204,6011208,6011209
come	111
computer	2
content	6011204
cool	6015497
count	3848
course	7185,15084,26454,66196,6012754
courserev	66196
courses	66193
cs101	2,66195,6012754
cs253	66195,6011939
cs262	66195,66196
cs387	66195
day	6012771
deadline	6012754
deadlines	6012754
debug	6011204
default_dispatcher	6011204
deliver	6012754
developers	6011939
digital	15084
discussion	2
dispatch	6011204
displayed	3778
docs	6011939
doctype	6011204
doing	7185,6011936
done	6011936,6015564
dunno	6011936
during	15084
editors	6011936
education	26454
engine	2,6011936,6011939
enter	6011204
error	6011204
escape	6011204
escape_html	6011204
everything	6011936
example	6011209
excited	2
feels	6011936
find	6015497
first	6012771
following	6011204
forum	2
forums	66195,6011939,6015497
founder	6015491
full	6012771
function	6011204
gadget	15084
\gae\lib\webapp2\webapp2	6011204
general	6011936
gettingstarted	6011939
give	6011208,6012771
glasses	6015497
gmt	66196
gone	66193
google	6011936,6011939,6015491,6015497
group	7185
guys	262,15084
handle_exception	6011204
handler	6011204
handler_adapter	6011204
harder	6011936
\haughty299\haughty299\main	6011204
headers	6011204
height	6011204
help	6011204,6011936
helps	6012771
higher	26454
highlighting	6011936
homework	6012754,6012771
hope	2,6012771
hopefully	66199
hungarians	7185
import	6011204
index	6011204,6011208
indexerror	6011204
info	6011204
input	6011204
instead	3848
interested	15084
interviews	6015491
itself	6012771
jinja2	6011939
jobs	26454
jpjsjv	6015491
keeping	6011936
kinda	66195,6011936
know	15084,6012754
**kwargs	6011204
last	6011204,6012754
late	6012771
learn	2
len	6011204,6011209
letters	6011209
line	6011204
live	66193
logging	6011204
logical	3848
ly	6015491
mainpage	6011204
makes	6011936
messes	6011936
messy	6011936
method	6011204
midnight	6012771
model	15084
monday	6012771
more	3848
name	6011204
nice	6015497
night	6012771
nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklm	6011204
norm	6011204,6011209
now	66195
nugget	66196
offered	6015497
officially	66196
one	6011936,6012771
online	15084
opened	66196
opera	262
out	6011204,6011208,6011209
penalty	6012771
people	6012771
please	26454,6011204
post	6011204
posted	6012771
posting	6012771
pre	6011204,6011208,6011209
print	6011208
professor	15084
provide	6011938
publicly	3778
python	6011939
question	6011939
questions	66195,6011939
quizzes	66195
quote	6011204
range	6011204,6011208,6011209
read	6011936
realize	6012754
really	6011936
recent	6011204
reiterate	6012771
related	6011939
released	6012754
request	6011204
requesthandler	6011204
response	6011204
return	6011204
ro	6011204
rose	6015491
rot13	6011204
rot	6011204,6011209
rot+ro	6011204,6011209
route	6011204
router	6011204
rv	6011204
sake	6011936
science	2
sdk	6015497
search	2
sebastian	6015491,6015497
sebastian's	6015564
see	66195,6015497
seems	3848
self	6011204
@sempaiscuba	6015497
sempaiscuba	6015497
simplicity	6011936
single	6011938
solution	6012771
solutions	6012754
something	6011936
soon	66199
speaking	6015497
stablished	6012754
start	3848
still	66196
stop	3848
strict	6012754
string	6011204,6011208
strings	6011938
strong	3848
stuff	6011936,6015564
style	6011204
submit	6011204
submitting	6012771
substitute	6011938
supposed	66196
syntax	6011936
teach	6011939
teachers	6011939
tell	26454
template	6011939
templates	6011938,6011939
text}	6011204
text	6011204,6011936
textarea	6011204
thanks	15084,6012754,6015564
thing	3848
things	6011936
think	6011936
thought	6012754
thrun	6015491
time	6012754
title	6011204
today	66193,66196,6012754
traceback	6011204
true	6011204
trying	6011208
tuesday	6012754
type	15084,6011204
udacity	2,66195,66196,6011939,6015491,6015497
unit	66195,66196,6011204
until	6015497
up	6011936,6012771
use	26454,6011938,6011939
used	15084
users	6015497
utc	6012771
very	6015497
videos	66195,6012771
view	66196
wait	6015497
wanted	6012771
watched	6015564
way	3778
web	6011936
webapp2	6011204
week	6012771
week's	6012771
welcome	2
well	6011938
width	6011204
wont	262
work	262
write	6011204,6011936
write_form	6011204
wsgiapplication	6011204
